Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;8166;2174.4;621;165.4;0;0
m;10-19;12397;3113.6;708;177.8;0;0
m;20-29;20106;4077.5;898;182.1;2;0.4
m;30-39;17487;3608.8;851;175.6;13;2.7
m;40-49;15559;3246.2;746;155.6;32;6.7
m;50-59;18068;2724.2;793;119.6;104;15.7
m;60-69;9992;2022.1;392;79.3;294;59.5
m;70-79;5489;1582.5;141;40.6;644;185.7
m;80-89;4640;2430.1;69;36.1;1183;619.6
m;90+;1146;5276;15;69.1;414;1906
w;0-9;7359;2065.7;568;159.4;0;0
w;10-19;12139;3250.2;632;169.2;0;0
w;20-29;18996;4288.6;735;165.9;3;0.7
w;30-39;16834;3606.7;713;152.8;6;1.3
w;40-49;16606;3427.9;678;140;20;4.1
w;50-59;18416;2777.6;634;95.6;51;7.7
w;60-69;9746;1878.5;357;68.8;160;30.8
w;70-79;5670;1422.3;153;38.4;370;92.8
w;80-89;8038;2845.2;90;31.9;1163;411.7
w;90+;3731;6302.6;24;40.5;756;1277.1
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
