Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;7689;2047.4;591;157.4;0;0
m;10-19;11841;2974;771;193.6;0;0
m;20-29;19403;3934.9;840;170.4;2;0.4
m;30-39;16855;3478.4;837;172.7;13;2.7
m;40-49;14983;3126;717;149.6;32;6.7
m;50-59;17467;2633.6;705;106.3;102;15.4
m;60-69;9695;1962;366;74.1;287;58.1
m;70-79;5392;1554.5;193;55.6;635;183.1
m;80-89;4589;2403.4;83;43.5;1175;615.4
m;90+;1132;5211.5;11;50.6;409;1883
w;0-9;6909;1939.4;521;146.2;0;0
w;10-19;11658;3121.4;761;203.8;0;0
w;20-29;18439;4162.8;713;161;3;0.7
w;30-39;16286;3489.3;726;155.5;6;1.3
w;40-49;16092;3321.8;674;139.1;20;4.1
w;50-59;17930;2704.3;605;91.3;51;7.7
w;60-69;9462;1823.8;325;62.6;155;29.9
w;70-79;5562;1395.2;187;46.9;362;90.8
w;80-89;7982;2825.4;102;36.1;1152;407.8
w;90+;3714;6273.9;34;57.4;752;1270.3
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
