Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;7392;1968.3;547;145.7;0;0
m;10-19;11505;2889.6;778;195.4;0;0
m;20-29;18998;3852.8;873;177;2;0.4
m;30-39;16474;3399.7;849;175.2;13;2.7
m;40-49;14645;3055.5;741;154.6;32;6.7
m;50-59;17111;2579.9;735;110.8;101;15.2
m;60-69;9507;1924;357;72.2;283;57.3
m;70-79;5304;1529.1;178;51.3;624;179.9
m;80-89;4546;2380.9;87;45.6;1168;611.7
m;90+;1135;5225.4;17;78.3;406;1869.2
w;0-9;6661;1869.8;495;138.9;0;0
w;10-19;11320;3030.9;724;193.9;0;0
w;20-29;18094;4084.9;775;175;3;0.7
w;30-39;15943;3415.8;745;159.6;6;1.3
w;40-49;15784;3258.2;704;145.3;20;4.1
w;50-59;17639;2660.4;599;90.3;51;7.7
w;60-69;9310;1794.5;351;67.7;152;29.3
w;70-79;5478;1374.1;191;47.9;356;89.3
w;80-89;7923;2804.5;90;31.9;1145;405.3
w;90+;3696;6243.5;33;55.7;748;1263.6
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
